StudNo,CNo,Semester,AcadYear
2017-30601,1434,1st,2016-2017
2017-30872,842,1st,2016-2017
2017-30147,460,1st,2014-2015
2017-30012,1985,2nd,2015-2016
2017-30130,447,1st,2016-2017
2017-30363,1042,1st,2016-2017
2017-30613,162,1st,2014-2015
2017-30461,1077,2nd,2015-2016
2017-30176,581,2nd,2014-2015
2017-30659,591,1st,2015-2016
2017-30109,1732,2nd,2017-2018
2017-30367,423,2nd,2016-2017
2017-30572,1307,1st,2017-2018
2017-30570,1471,2nd,2014-2015
2017-30463,31,1st,2014-2015
2017-30211,1660,1st,2016-2017
2017-30210,1426,2nd,2015-2016
2017-30541,397,2nd,2015-2016
2017-30607,1950,2nd,2015-2016
2017-30310,186,1st,2016-2017
2017-30545,1747,2nd,2015-2016
2017-30354,1121,2nd,2017-2018
2017-30410,689,2nd,2016-2017
2017-30312,1400,2nd,2014-2015
2017-30774,487,1st,2014-2015
2017-30651,530,1st,2017-2018
2017-30528,748,1st,2015-2016
2017-30542,1786,1st,2014-2015
2017-30735,216,1st,2014-2015
2017-30560,8,1st,2016-2017
2017-30908,1284,1st,2016-2017
2017-30852,1387,1st,2017-2018
2017-30689,1391,1st,2015-2016
2017-30301,1707,2nd,2015-2016
2017-30557,1883,1st,2014-2015
2017-30356,1728,1st,2015-2016
2017-30315,154,1st,2016-2017
2017-30741,1951,1st,2015-2016
2017-30836,1074,2nd,2016-2017
2017-30096,581,2nd,2014-2015
2017-30222,1974,1st,2014-2015
2017-30133,269,2nd,2016-2017
2017-30478,541,1st,2014-2015
2017-30870,1778,2nd,2016-2017
2017-30161,1372,2nd,2015-2016
2017-30786,446,1st,2015-2016
2017-30808,766,2nd,2016-2017
2017-30718,939,2nd,2016-2017
2017-30378,873,2nd,2016-2017
2017-30975,1326,1st,2017-2018
2017-30920,902,1st,2014-2015
2017-30825,1579,1st,2016-2017
2017-30091,1199,2nd,2016-2017
2017-30781,1109,2nd,2017-2018
2017-30294,76,2nd,2017-2018
2017-30424,471,2nd,2015-2016
2017-30086,529,2nd,2017-2018
2017-30331,528,1st,2015-2016
2017-30423,1614,2nd,2017-2018
2017-30868,824,2nd,2014-2015
2017-30691,1291,1st,2014-2015
2017-30007,979,1st,2015-2016
2017-30253,987,1st,2017-2018
2017-30731,1107,1st,2014-2015
2017-30924,1163,1st,2016-2017
2017-30927,1663,1st,2016-2017
2017-30755,1202,2nd,2017-2018
2017-30042,1172,1st,2015-2016
2017-30773,68,1st,2016-2017
2017-30960,1402,1st,2016-2017
2017-30007,498,2nd,2015-2016
2017-30833,1075,2nd,2017-2018
2017-30537,1066,2nd,2017-2018
2017-30227,282,2nd,2015-2016
2017-30635,1896,2nd,2015-2016
2017-30057,328,2nd,2017-2018
2017-30952,1125,1st,2017-2018
2017-30019,1887,1st,2016-2017
2017-30887,77,2nd,2017-2018
2017-30629,1388,2nd,2016-2017
2017-30511,1885,2nd,2015-2016
2017-30139,904,2nd,2015-2016
2017-30027,1407,1st,2015-2016
2017-30825,1908,2nd,2014-2015
2017-30109,1005,2nd,2014-2015
2017-30923,1069,2nd,2015-2016
2017-30900,1325,1st,2016-2017
2017-30933,216,1st,2014-2015
2017-30284,1447,1st,2016-2017
2017-30889,647,2nd,2017-2018
2017-30873,964,2nd,2017-2018
2017-30120,962,1st,2016-2017
2017-30668,1838,1st,2016-2017
2017-30962,302,1st,2016-2017
2017-30798,791,1st,2016-2017
2017-30204,440,2nd,2014-2015
2017-30683,1061,2nd,2017-2018
2017-30520,1999,2nd,2017-2018
2017-30733,895,1st,2017-2018
2017-30485,1417,2nd,2015-2016
2017-30499,1793,2nd,2015-2016
2017-30109,61,1st,2014-2015
2017-30018,280,2nd,2017-2018
2017-30155,1500,1st,2017-2018
2017-30712,127,1st,2017-2018
2017-30765,261,2nd,2016-2017
2017-30881,813,1st,2014-2015
2017-30192,1710,2nd,2014-2015
2017-30069,1182,2nd,2017-2018
2017-30153,1758,2nd,2016-2017
2017-30248,1029,2nd,2017-2018
2017-30545,1699,2nd,2017-2018
2017-30819,87,2nd,2016-2017
2017-30771,1618,1st,2017-2018
2017-30275,1154,1st,2015-2016
2017-30774,261,1st,2017-2018
2017-30212,231,1st,2015-2016
2017-30119,1102,1st,2014-2015
2017-30489,1087,1st,2015-2016
2017-30463,1661,2nd,2015-2016
2017-30503,1140,2nd,2014-2015
2017-30580,1640,2nd,2015-2016
2017-30360,105,1st,2014-2015
2017-30029,188,1st,2017-2018
2017-30888,1492,2nd,2015-2016
2017-30618,1294,2nd,2015-2016
2017-30778,1609,2nd,2015-2016
2017-30931,439,2nd,2017-2018
2017-30940,960,2nd,2014-2015
2017-30536,114,1st,2015-2016
2017-30080,1740,2nd,2014-2015
2017-30196,763,1st,2015-2016
2017-30792,66,1st,2014-2015
2017-30142,970,2nd,2015-2016
2017-30192,1708,2nd,2014-2015
2017-30641,120,2nd,2016-2017
2017-31000,252,2nd,2016-2017
2017-30277,637,2nd,2017-2018
2017-30735,902,1st,2014-2015
2017-30670,1200,1st,2014-2015
2017-30509,1675,2nd,2015-2016
2017-30019,1037,2nd,2014-2015
2017-30529,1821,2nd,2015-2016
2017-30298,415,2nd,2015-2016
2017-30586,1179,1st,2017-2018
2017-30693,996,1st,2017-2018
2017-30775,519,2nd,2017-2018
2017-30826,1604,1st,2016-2017
2017-30044,1340,1st,2017-2018
2017-30827,224,1st,2016-2017
2017-30487,881,1st,2014-2015
2017-30385,1600,1st,2016-2017
2017-30260,97,2nd,2015-2016
2017-30842,847,1st,2016-2017
2017-30753,729,1st,2016-2017
2017-30576,757,2nd,2016-2017
2017-30287,1136,1st,2014-2015
2017-30041,1648,1st,2014-2015
2017-30789,37,2nd,2017-2018
2017-30709,856,2nd,2016-2017
2017-30110,1626,1st,2017-2018
2017-30570,1969,2nd,2016-2017
2017-30745,759,1st,2014-2015
2017-30987,1995,2nd,2017-2018
2017-30128,1826,1st,2015-2016
2017-30770,689,1st,2017-2018
2017-30109,225,1st,2016-2017
2017-30638,815,1st,2014-2015
2017-30023,155,1st,2016-2017
2017-30226,1185,2nd,2014-2015
2017-30028,670,1st,2016-2017
2017-30369,1531,1st,2014-2015
2017-30764,1202,1st,2014-2015
2017-30728,1310,2nd,2015-2016
2017-30775,164,2nd,2017-2018
2017-30260,1103,1st,2015-2016
2017-30190,350,1st,2016-2017
2017-30313,130,1st,2015-2016
2017-30135,146,2nd,2014-2015
2017-30641,1159,1st,2015-2016
2017-30629,1810,1st,2014-2015
2017-30400,606,2nd,2014-2015
2017-30128,1296,2nd,2015-2016
2017-30218,691,2nd,2014-2015
2017-30094,345,2nd,2016-2017
2017-30060,1655,1st,2015-2016
2017-30651,262,2nd,2017-2018
2017-30508,365,1st,2014-2015
2017-30270,1877,1st,2016-2017
2017-30387,539,2nd,2016-2017
2017-30568,464,2nd,2015-2016
2017-30022,859,1st,2017-2018
2017-30070,1607,2nd,2017-2018
2017-30677,793,1st,2017-2018
2017-30905,549,2nd,2016-2017
2017-30893,1404,2nd,2014-2015
2017-30304,1126,1st,2015-2016
2017-30893,1064,1st,2017-2018
2017-30910,835,2nd,2015-2016
2017-30015,1555,2nd,2017-2018
2017-30469,1886,1st,2016-2017
2017-30277,578,1st,2017-2018
2017-30230,637,1st,2017-2018
2017-30750,798,2nd,2016-2017
2017-30279,326,1st,2014-2015
2017-30120,1043,1st,2016-2017
2017-30542,537,2nd,2015-2016
2017-30395,1132,1st,2014-2015
2017-30736,1468,1st,2015-2016
2017-30882,679,2nd,2017-2018
2017-30405,1489,1st,2014-2015
2017-30260,402,1st,2017-2018
2017-30735,1128,2nd,2017-2018
2017-30234,1969,1st,2016-2017
2017-30652,1281,2nd,2016-2017
2017-30487,525,2nd,2015-2016
2017-30683,1908,1st,2017-2018
2017-30950,1844,2nd,2015-2016
2017-30636,1717,1st,2014-2015
2017-30697,210,1st,2014-2015
2017-30341,996,1st,2015-2016
2017-30712,406,2nd,2015-2016
2017-30307,1157,2nd,2015-2016
2017-30506,1331,2nd,2016-2017
2017-30963,920,1st,2014-2015
2017-30533,1848,2nd,2017-2018
2017-30981,1428,2nd,2014-2015
2017-30550,1889,1st,2016-2017
2017-30704,1831,1st,2017-2018
2017-30132,1446,1st,2017-2018
2017-30036,529,2nd,2017-2018
2017-30868,1360,2nd,2017-2018
2017-30080,830,1st,2015-2016
2017-30675,735,1st,2014-2015
2017-30793,831,2nd,2016-2017
2017-30415,1128,1st,2017-2018
2017-30394,1805,2nd,2015-2016
2017-30795,1036,2nd,2015-2016
2017-30651,1441,1st,2016-2017
2017-30741,486,2nd,2017-2018
2017-30849,1926,1st,2016-2017
2017-30251,645,2nd,2015-2016
2017-30773,1020,2nd,2014-2015
2017-30709,887,2nd,2017-2018
2017-30111,1707,1st,2017-2018
2017-30189,8,1st,2014-2015
2017-30648,1639,2nd,2016-2017
2017-30073,797,2nd,2014-2015
2017-30447,278,1st,2017-2018
2017-30936,427,2nd,2017-2018
2017-30572,1121,1st,2016-2017
2017-30501,1061,2nd,2017-2018
2017-30190,248,2nd,2015-2016
2017-30351,1096,2nd,2014-2015
2017-30228,512,2nd,2017-2018
2017-30130,1003,1st,2017-2018
2017-30946,696,2nd,2015-2016
2017-30786,744,2nd,2016-2017
2017-30703,129,1st,2017-2018
2017-30281,1676,1st,2015-2016
2017-30297,316,2nd,2017-2018
2017-30998,948,1st,2017-2018
2017-30476,1697,1st,2017-2018
2017-30479,1661,1st,2017-2018
2017-30187,495,1st,2016-2017
2017-30086,1896,1st,2017-2018
2017-30832,1438,1st,2017-2018
2017-30674,1023,1st,2017-2018
2017-30778,1660,1st,2016-2017
2017-30424,1654,2nd,2014-2015
2017-30542,1409,1st,2016-2017
2017-30687,343,1st,2016-2017
2017-30043,18,1st,2014-2015
2017-30337,1190,2nd,2016-2017
2017-30183,1408,2nd,2015-2016
2017-30989,479,2nd,2017-2018
2017-30755,645,1st,2014-2015
2017-30732,187,1st,2017-2018
2017-30232,1987,1st,2016-2017
2017-30187,1191,2nd,2015-2016
2017-30644,1151,1st,2016-2017
2017-30118,1354,2nd,2017-2018
2017-30453,1672,2nd,2016-2017
2017-30100,633,1st,2015-2016
2017-30562,786,1st,2014-2015
2017-30002,737,1st,2017-2018
2017-30115,1213,1st,2014-2015
2017-30953,213,2nd,2017-2018
2017-30776,51,1st,2017-2018
2017-30545,1532,2nd,2016-2017
2017-30162,1367,2nd,2016-2017
2017-30791,817,1st,2014-2015
2017-30618,1197,1st,2014-2015
2017-30897,1789,1st,2014-2015
2017-30646,1623,1st,2017-2018
2017-30473,1528,2nd,2014-2015
2017-30151,416,1st,2015-2016
2017-30255,1114,1st,2014-2015
2017-30800,1935,2nd,2017-2018
2017-30585,364,1st,2015-2016
2017-30085,1025,2nd,2017-2018
2017-30388,1367,2nd,2017-2018
2017-30047,467,1st,2015-2016
2017-30850,1134,1st,2017-2018
2017-30270,727,2nd,2017-2018
2017-30199,370,2nd,2016-2017
2017-30618,362,2nd,2015-2016
2017-30418,759,2nd,2015-2016
2017-30461,196,1st,2016-2017
2017-30614,1626,1st,2015-2016
2017-30996,1399,1st,2016-2017
2017-30033,1365,2nd,2017-2018
2017-30543,660,2nd,2014-2015
2017-30197,1211,2nd,2017-2018
2017-30416,1501,2nd,2015-2016
2017-30375,954,2nd,2017-2018
2017-30526,812,1st,2016-2017
2017-30072,805,2nd,2014-2015
2017-30226,1769,1st,2016-2017
2017-30433,309,1st,2015-2016
2017-30762,1285,1st,2017-2018
2017-30438,732,1st,2016-2017
2017-30414,1230,2nd,2017-2018
2017-30117,1582,2nd,2014-2015
2017-30846,1171,1st,2014-2015
2017-30593,1128,2nd,2015-2016
2017-30623,324,2nd,2016-2017
2017-30260,1266,1st,2015-2016
2017-30697,1290,2nd,2015-2016
2017-30532,1677,1st,2016-2017
2017-30265,1031,2nd,2014-2015
2017-30882,637,1st,2016-2017
2017-30474,1752,2nd,2015-2016
2017-30980,1999,2nd,2015-2016
2017-30999,394,2nd,2014-2015
2017-30757,1162,1st,2016-2017
2017-30909,1986,1st,2015-2016
2017-30778,1266,2nd,2016-2017
2017-30668,261,1st,2017-2018
2017-30877,1688,2nd,2016-2017
2017-30104,1498,2nd,2014-2015
2017-30115,365,1st,2015-2016
2017-31000,1594,2nd,2015-2016
2017-30603,1657,2nd,2014-2015
2017-30351,817,1st,2015-2016
2017-30893,1244,2nd,2016-2017
2017-30156,1533,1st,2014-2015
2017-30205,308,1st,2015-2016
2017-30129,688,2nd,2017-2018
2017-30716,1835,1st,2017-2018
2017-30389,16,1st,2016-2017
2017-30613,834,1st,2015-2016
2017-30165,56,2nd,2016-2017
2017-30585,668,2nd,2017-2018
2017-30910,646,2nd,2014-2015
2017-30706,1814,1st,2015-2016
2017-30515,1197,2nd,2017-2018
2017-30810,1341,1st,2015-2016
2017-30686,102,2nd,2016-2017
2017-30874,706,2nd,2017-2018
2017-30727,1270,2nd,2015-2016
2017-30297,1582,2nd,2016-2017
2017-30542,1708,2nd,2016-2017
2017-30520,1586,2nd,2014-2015
2017-30415,381,2nd,2017-2018
2017-30591,1515,1st,2017-2018
2017-30528,1585,2nd,2014-2015
2017-30153,1447,1st,2014-2015
2017-30726,1400,2nd,2017-2018
2017-30418,1794,2nd,2015-2016
2017-30583,1275,2nd,2017-2018
2017-30996,46,1st,2015-2016
2017-30079,225,1st,2017-2018
2017-30821,1669,2nd,2015-2016
2017-30894,82,1st,2015-2016
2017-30068,606,2nd,2017-2018
2017-30726,1421,2nd,2017-2018
2017-30114,344,1st,2016-2017
2017-30750,1805,2nd,2016-2017
2017-30019,1682,2nd,2017-2018
2017-30644,566,1st,2016-2017
2017-30673,1371,1st,2015-2016
2017-31000,998,1st,2015-2016
2017-30231,720,2nd,2017-2018
2017-30457,1509,2nd,2017-2018
2017-30099,1457,2nd,2015-2016
2017-30603,559,1st,2017-2018
2017-30138,897,1st,2014-2015
2017-30086,1937,2nd,2015-2016
2017-30824,1381,2nd,2015-2016
2017-30838,1640,1st,2015-2016
2017-30994,1828,2nd,2016-2017
2017-30795,1102,2nd,2017-2018
2017-30206,1212,2nd,2014-2015
2017-30097,1550,2nd,2016-2017
2017-30665,1397,2nd,2016-2017
2017-30438,1257,2nd,2014-2015
2017-30681,1878,2nd,2017-2018
2017-30181,503,2nd,2015-2016
2017-30843,1537,1st,2014-2015
2017-30611,982,1st,2017-2018
2017-30906,1586,2nd,2017-2018
2017-30315,259,2nd,2014-2015
2017-30803,950,2nd,2015-2016
2017-30177,121,1st,2014-2015
2017-30652,767,1st,2016-2017
2017-30144,340,1st,2016-2017
2017-30102,656,2nd,2016-2017
2017-30095,209,1st,2015-2016
2017-30070,1470,1st,2016-2017
2017-30408,654,1st,2017-2018
2017-30519,1033,2nd,2015-2016
2017-30101,778,2nd,2017-2018
2017-30940,1730,1st,2016-2017
2017-30460,235,2nd,2015-2016
2017-30407,792,2nd,2017-2018
2017-30210,1753,2nd,2017-2018
2017-30082,1154,1st,2014-2015
2017-30556,645,1st,2016-2017
2017-30137,1644,1st,2016-2017
2017-30484,831,1st,2015-2016
2017-30079,533,2nd,2014-2015
2017-30486,327,1st,2016-2017
2017-30779,1365,2nd,2017-2018
2017-30846,1065,2nd,2014-2015
2017-30331,1633,2nd,2015-2016
2017-30518,901,2nd,2015-2016
2017-30992,224,1st,2014-2015
2017-30154,200,2nd,2014-2015
2017-30307,854,1st,2015-2016
2017-30304,652,1st,2017-2018
2017-30991,77,1st,2016-2017
2017-30284,692,1st,2015-2016
2017-30834,259,1st,2017-2018
2017-30355,1870,2nd,2017-2018
2017-30029,623,1st,2017-2018
2017-30328,667,2nd,2016-2017
2017-30958,573,1st,2016-2017
2017-30788,1255,1st,2017-2018
2017-30819,764,1st,2017-2018
2017-30278,1696,1st,2015-2016
