StudNo,Description,Action,DateFiled,DateResolved
2017-10516,Residency,Unresolved,2015-11-11,2016-10-20
2017-10500,Residency,Resolved,2014-08-08,2016-07-28
2017-10267,LOA,Lapsed,2015-03-06,2017-05-11
2017-10682,AWOL,Lapsed,2015-03-09,2017-06-09
2017-10078,LOA,Unresolved,2015-01-06,2016-12-30
2017-10936,Completion,Resolved,2015-03-08,2016-03-26
2017-10753,Change of Plan of Study,Resolved,2015-01-06,2017-04-22
2017-10840,Change of Adviser,Resolved,2014-03-16,2017-11-07
2017-10552,Residency,Resolved,2015-05-03,2017-03-06
2017-10426,Change of Plan of Study,Resolved,2015-10-29,2016-02-15
2017-10801,AWOL,Lapsed,2015-11-11,2017-04-06
2017-10617,Residency,Lapsed,2015-09-01,2017-10-27
2017-10145,LOA,Resolved,2014-01-02,2016-05-14
2017-10445,Change of Adviser,Lapsed,2015-08-04,2016-12-16
2017-10472,Completion,Lapsed,2015-04-13,2016-12-28
2017-10056,Completion,Unresolved,2015-11-12,2016-06-10
2017-10876,Change of Adviser,Resolved,2014-07-20,2017-10-15
2017-10481,Completion,Resolved,2015-01-19,2017-07-02
2017-10167,Change of Adviser,Lapsed,2015-05-04,2017-11-14
2017-10926,LOA,Resolved,2014-06-06,2017-11-15
2017-10388,Change of Adviser,Unresolved,2015-08-04,2017-09-06
2017-10543,AWOL,Lapsed,2014-02-14,2016-10-19
2017-10403,LOA,Resolved,2015-10-15,2017-02-03
2017-10030,LOA,Resolved,2014-06-05,2016-12-08
2017-10911,Completion,Resolved,2014-07-03,2017-07-17
2017-10391,Change of Adviser,Resolved,2014-03-22,2016-02-16
2017-10038,Completion,Unresolved,2015-01-02,2016-08-07
2017-10270,Change of Plan of Study,Resolved,2015-05-10,2016-09-30
2017-10997,LOA,Unresolved,2015-01-28,2017-05-03
2017-10500,Change of Plan of Study,Lapsed,2015-09-17,2017-01-14
2017-10229,LOA,Unresolved,2014-08-27,2016-08-08
2017-10033,Change of Plan of Study,Resolved,2014-11-08,2016-03-19
2017-10145,AWOL,Unresolved,2015-09-23,2017-08-24
2017-10393,Change of Adviser,Lapsed,2014-01-13,2016-07-16
2017-10180,Change of Plan of Study,Lapsed,2015-05-23,2017-02-17
2017-10839,LOA,Lapsed,2015-05-27,2017-10-07
2017-10056,Residency,Unresolved,2014-02-15,2017-08-01
2017-10396,Change of Plan of Study,Lapsed,2015-02-02,2017-08-03
2017-10568,Residency,Resolved,2014-09-29,2017-01-24
2017-10545,Change of Plan of Study,Lapsed,2014-09-03,2017-05-03
2017-10564,Change of Adviser,Resolved,2015-11-02,2017-07-25
2017-10079,AWOL,Resolved,2014-03-15,2016-04-02
2017-10851,Change of Adviser,Unresolved,2014-12-15,2017-03-10
2017-10219,Change of Adviser,Unresolved,2015-11-04,2016-07-06
2017-10488,Residency,Unresolved,2015-02-26,2016-06-12
2017-10963,Change of Adviser,Resolved,2014-02-25,2016-06-10
2017-10565,Change of Adviser,Resolved,2014-07-01,2016-08-28
2017-10336,Change of Adviser,Resolved,2014-08-18,2016-08-13
2017-10423,Residency,Unresolved,2015-04-04,2017-04-01
2017-10063,Residency,Unresolved,2014-05-22,2016-02-01
2017-10300,Change of Adviser,Resolved,2014-03-02,2017-05-01
2017-10098,AWOL,Lapsed,2015-01-22,2017-10-28
2017-10181,Residency,Resolved,2014-04-10,2017-07-19
2017-10069,Completion,Unresolved,2015-03-03,2016-10-19
2017-10299,Residency,Resolved,2015-03-26,2017-09-12
2017-10816,Residency,Resolved,2015-03-13,2016-05-01
2017-10776,Completion,Resolved,2014-05-08,2016-01-20
2017-10591,Residency,Unresolved,2015-05-23,2017-05-11
2017-10241,Change of Adviser,Lapsed,2014-06-26,2017-01-06
2017-10205,Completion,Unresolved,2014-08-22,2016-12-21
2017-10799,Change of Adviser,Unresolved,2015-07-24,2017-04-07
2017-10286,Residency,Unresolved,2015-02-20,2017-07-08
2017-10357,AWOL,Resolved,2014-10-26,2017-07-07
2017-10311,Completion,Lapsed,2014-02-11,2017-06-01
2017-10146,AWOL,Unresolved,2014-12-09,2017-05-11
2017-10769,LOA,Unresolved,2014-03-08,2016-07-18
2017-10904,Residency,Resolved,2014-10-03,2016-02-15
2017-10013,LOA,Resolved,2014-06-08,2016-07-02
2017-10592,Residency,Resolved,2015-08-16,2016-12-16
2017-10220,Change of Adviser,Unresolved,2014-02-08,2017-02-23
2017-10338,Residency,Lapsed,2014-01-31,2017-02-27
2017-10593,AWOL,Lapsed,2015-11-13,2016-12-18
2017-10588,Completion,Unresolved,2015-02-10,2017-05-25
2017-10913,Residency,Lapsed,2014-01-12,2017-01-08
2017-10640,Change of Adviser,Resolved,2014-03-04,2017-08-16
2017-10352,Change of Plan of Study,Lapsed,2015-04-29,2016-10-31
2017-10146,Completion,Resolved,2014-07-04,2017-08-30
2017-10773,Residency,Unresolved,2015-03-24,2017-10-12
2017-10317,Residency,Lapsed,2014-05-26,2017-05-18
2017-10044,LOA,Unresolved,2014-11-25,2016-02-04
2017-10847,Residency,Unresolved,2014-12-16,2016-07-20
2017-10344,Change of Plan of Study,Unresolved,2015-02-13,2016-10-24
2017-10990,Completion,Unresolved,2014-03-26,2016-04-02
2017-10364,Residency,Resolved,2015-05-03,2016-10-07
2017-10763,Change of Adviser,Unresolved,2015-06-30,2017-09-18
2017-10261,Residency,Lapsed,2014-12-02,2017-09-17
2017-10863,Change of Plan of Study,Resolved,2015-06-22,2016-08-28
2017-10399,Residency,Resolved,2015-02-02,2017-07-10
2017-10734,Residency,Lapsed,2014-08-20,2017-07-27
2017-10396,AWOL,Resolved,2015-11-14,2016-10-31
2017-10427,Change of Plan of Study,Resolved,2015-09-07,2016-10-24
2017-10217,Residency,Unresolved,2014-06-21,2016-06-14
2017-10711,Change of Plan of Study,Resolved,2014-05-29,2016-11-29
2017-10629,Change of Plan of Study,Lapsed,2015-04-17,2016-01-24
2017-10712,LOA,Lapsed,2014-02-19,2016-09-01
2017-10215,Residency,Lapsed,2014-01-05,2016-12-06
2017-10163,Completion,Lapsed,2014-08-26,2016-11-29
2017-10681,AWOL,Unresolved,2014-11-30,2016-06-20
2017-10308,Change of Adviser,Lapsed,2014-08-07,2016-02-11
2017-10620,Residency,Resolved,2014-10-16,2016-04-04
2017-10752,AWOL,Lapsed,2014-03-10,2017-03-22
2017-10082,Completion,Unresolved,2014-07-23,2017-03-31
2017-10843,Change of Adviser,Lapsed,2014-04-27,2017-02-18
2017-10324,Residency,Lapsed,2014-01-03,2016-03-08
2017-10324,AWOL,Unresolved,2014-08-09,2017-05-26
2017-10313,AWOL,Resolved,2014-12-19,2016-10-15
2017-10453,LOA,Unresolved,2015-02-16,2017-06-05
2017-10492,Change of Plan of Study,Resolved,2014-05-11,2017-04-12
2017-10748,Change of Plan of Study,Resolved,2014-08-30,2017-09-06
2017-10123,Residency,Resolved,2015-07-15,2017-09-13
2017-10580,Residency,Unresolved,2014-03-28,2017-07-12
2017-10166,Change of Adviser,Unresolved,2014-09-19,2017-01-21
2017-10831,Completion,Lapsed,2014-12-18,2016-06-13
2017-10537,Change of Plan of Study,Unresolved,2014-12-12,2016-09-01
2017-10971,AWOL,Unresolved,2014-05-29,2017-02-20
2017-20464,Change of Adviser,Lapsed,2015-03-03,2017-10-05
2017-20293,LOA,Resolved,2015-07-03,2016-07-25
2017-20892,AWOL,Lapsed,2014-02-19,2017-08-27
2017-20098,Change of Adviser,Unresolved,2014-05-04,2017-04-13
2017-20483,Change of Plan of Study,Lapsed,2015-06-18,2016-12-09
2017-20401,Completion,Resolved,2015-10-26,2017-04-23
2017-20988,Change of Adviser,Resolved,2014-10-20,2016-01-13
2017-20797,AWOL,Unresolved,2014-07-09,2016-08-01
2017-20248,Change of Adviser,Resolved,2015-01-23,2016-03-20
2017-20089,AWOL,Lapsed,2015-06-19,2017-08-13
2017-20822,LOA,Resolved,2015-04-14,2016-07-08
2017-20759,Change of Adviser,Unresolved,2014-06-15,2017-11-11
2017-20132,LOA,Lapsed,2015-01-30,2016-10-21
2017-20853,LOA,Resolved,2015-02-08,2016-04-20
2017-20847,Completion,Unresolved,2015-09-20,2017-04-16
2017-20901,Completion,Resolved,2015-08-21,2017-01-24
2017-20140,LOA,Unresolved,2015-09-21,2017-04-17
2017-20956,Residency,Unresolved,2015-11-15,2016-09-23
2017-20624,AWOL,Resolved,2014-01-01,2017-01-10
2017-20535,LOA,Resolved,2015-03-26,2016-11-30
2017-20458,LOA,Lapsed,2014-03-12,2016-05-28
2017-20601,Change of Adviser,Unresolved,2015-01-24,2017-07-17
2017-20674,Change of Plan of Study,Lapsed,2015-01-21,2016-02-11
2017-20948,AWOL,Lapsed,2015-05-10,2016-08-03
2017-20060,AWOL,Lapsed,2014-01-18,2017-06-22
2017-20510,Change of Plan of Study,Resolved,2015-05-11,2016-03-15
2017-20887,LOA,Unresolved,2014-09-28,2016-03-12
2017-20839,Completion,Unresolved,2014-05-10,2017-03-15
2017-20471,AWOL,Resolved,2014-04-11,2017-07-11
2017-20965,LOA,Resolved,2015-03-30,2016-10-16
2017-20325,LOA,Lapsed,2015-03-16,2016-12-30
2017-20111,Completion,Resolved,2014-11-18,2016-05-05
2017-20443,Change of Plan of Study,Resolved,2015-09-23,2016-12-02
2017-20328,AWOL,Lapsed,2014-11-04,2017-01-27
2017-20463,AWOL,Resolved,2015-11-02,2017-07-03
2017-20527,LOA,Resolved,2015-08-01,2016-02-09
2017-20954,Completion,Unresolved,2015-10-08,2017-09-25
2017-20920,LOA,Lapsed,2014-06-23,2017-07-07
2017-20044,Completion,Unresolved,2014-04-18,2016-01-26
2017-20581,AWOL,Lapsed,2014-09-24,2016-08-31
2017-20313,Completion,Unresolved,2015-02-14,2016-12-19
2017-20754,AWOL,Lapsed,2015-05-25,2017-10-06
2017-20757,Change of Plan of Study,Unresolved,2014-09-16,2017-10-18
2017-20906,Change of Plan of Study,Lapsed,2014-11-25,2016-05-19
2017-20080,Change of Adviser,Unresolved,2015-08-18,2017-02-06
2017-20960,Change of Adviser,Lapsed,2014-12-15,2017-08-17
2017-20606,AWOL,Unresolved,2014-04-24,2016-05-29
2017-20826,Residency,Resolved,2014-03-09,2016-01-03
2017-20264,LOA,Lapsed,2014-12-26,2016-02-28
2017-20263,LOA,Unresolved,2015-09-26,2016-02-15
2017-20497,Completion,Lapsed,2014-06-17,2016-08-12
2017-20030,AWOL,Lapsed,2015-03-07,2017-01-22
2017-20755,Change of Plan of Study,Resolved,2014-07-10,2017-08-22
2017-20973,Completion,Unresolved,2015-05-18,2016-01-13
2017-20755,Change of Adviser,Lapsed,2015-08-14,2016-04-03
2017-20712,Change of Plan of Study,Lapsed,2014-08-29,2017-02-09
2017-20766,Completion,Unresolved,2014-07-11,2016-11-16
2017-20821,Change of Adviser,Resolved,2015-03-23,2016-03-01
2017-20762,Change of Adviser,Resolved,2015-02-02,2016-08-02
2017-20790,Change of Adviser,Resolved,2015-10-15,2016-03-26
2017-20542,LOA,Unresolved,2015-10-24,2016-08-12
2017-20103,Residency,Unresolved,2014-06-20,2017-09-05
2017-20929,Change of Plan of Study,Unresolved,2014-03-30,2017-10-21
2017-20426,LOA,Lapsed,2015-11-15,2016-08-08
2017-20872,Change of Plan of Study,Unresolved,2015-11-15,2016-03-28
2017-20421,Change of Plan of Study,Resolved,2015-11-02,2016-03-23
2017-20559,LOA,Resolved,2014-03-12,2016-11-23
2017-20402,Residency,Lapsed,2015-08-19,2016-12-26
2017-20650,Residency,Unresolved,2014-11-16,2016-04-11
2017-20741,Completion,Unresolved,2015-02-14,2016-01-14
2017-20636,Change of Adviser,Resolved,2015-07-26,2016-06-14
2017-20954,Change of Adviser,Resolved,2014-10-05,2017-03-28
2017-20500,Change of Adviser,Unresolved,2014-03-01,2017-09-22
2017-20858,AWOL,Unresolved,2015-03-13,2016-07-09
2017-20290,Residency,Resolved,2015-08-24,2016-08-12
2017-20309,Change of Adviser,Unresolved,2014-09-03,2016-03-10
2017-20593,Residency,Resolved,2014-08-28,2017-05-06
2017-20742,Change of Plan of Study,Resolved,2014-05-17,2017-07-04
2017-20382,Completion,Unresolved,2015-10-22,2017-05-21
2017-20742,Change of Adviser,Resolved,2015-10-24,2017-06-19
2017-20750,Change of Plan of Study,Unresolved,2015-11-14,2017-04-05
2017-20705,Residency,Unresolved,2015-09-21,2016-11-09
2017-20009,Completion,Unresolved,2015-09-21,2016-06-02
2017-20962,AWOL,Lapsed,2015-05-01,2017-06-24
2017-20137,Residency,Lapsed,2015-05-04,2017-09-12
2017-20155,Residency,Lapsed,2014-05-31,2017-03-19
2017-20897,AWOL,Lapsed,2014-07-10,2016-07-24
2017-20200,Change of Plan of Study,Unresolved,2015-11-11,2017-01-10
2017-20387,LOA,Unresolved,2015-09-28,2016-06-27
2017-20932,LOA,Resolved,2015-03-26,2016-05-07
2017-20180,Change of Plan of Study,Resolved,2014-01-23,2017-09-01
2017-20923,Completion,Lapsed,2015-10-07,2017-09-09
2017-20714,AWOL,Lapsed,2014-02-13,2016-07-23
2017-20431,AWOL,Resolved,2014-07-14,2016-08-07
2017-20488,Change of Adviser,Unresolved,2014-08-27,2017-05-18
2017-20722,AWOL,Resolved,2014-07-29,2016-02-22
2017-20620,Change of Plan of Study,Resolved,2015-01-08,2016-04-09
2017-20546,Change of Adviser,Unresolved,2014-08-06,2016-04-12
2017-20766,LOA,Resolved,2014-09-22,2016-11-10
2017-20169,Completion,Lapsed,2015-03-17,2016-06-15
2017-20478,LOA,Lapsed,2014-04-02,2016-11-05
2017-20784,LOA,Unresolved,2015-09-11,2016-06-10
2017-20956,Completion,Lapsed,2014-08-04,2016-11-05
2017-20586,Residency,Unresolved,2014-04-29,2016-11-19
2017-20365,Change of Adviser,Resolved,2014-05-09,2016-09-13
2017-20768,Residency,Lapsed,2014-11-04,2016-07-04
2017-20016,Change of Plan of Study,Unresolved,2014-06-27,2017-04-13
2017-20448,Residency,Unresolved,2014-10-28,2017-07-14
2017-20995,Change of Plan of Study,Resolved,2015-06-11,2017-01-08
2017-20391,LOA,Unresolved,2014-08-16,2016-07-23
2017-20060,AWOL,Resolved,2014-10-16,2017-01-08
2017-20966,Change of Adviser,Lapsed,2014-09-08,2017-05-24
2017-20444,LOA,Unresolved,2014-01-07,2016-03-16
2017-20472,Change of Adviser,Resolved,2015-09-22,2017-01-17
2017-20731,Change of Adviser,Resolved,2015-03-13,2016-08-01
2017-20465,Residency,Unresolved,2014-08-05,2016-06-05
2017-20265,LOA,Unresolved,2015-05-29,2016-09-16
2017-20599,Residency,Unresolved,2014-03-07,2016-11-16
2017-20086,LOA,Lapsed,2014-10-28,2016-08-02
2017-20027,LOA,Unresolved,2014-02-19,2017-10-07
2017-20608,Completion,Lapsed,2015-10-20,2017-10-23
2017-20878,Change of Adviser,Resolved,2014-08-07,2016-05-14
2017-20043,Residency,Unresolved,2014-09-18,2016-07-22
2017-20149,Residency,Lapsed,2015-01-07,2016-05-22
2017-20011,Change of Adviser,Lapsed,2014-12-28,2017-08-03
2017-20907,Change of Plan of Study,Unresolved,2015-02-23,2016-05-09
2017-20697,AWOL,Resolved,2015-07-13,2016-09-12
2017-20355,Residency,Lapsed,2015-10-27,2017-05-18
2017-20368,AWOL,Unresolved,2015-03-10,2016-01-31
2017-20956,LOA,Lapsed,2015-09-22,2017-08-19
2017-20984,LOA,Unresolved,2015-05-31,2016-01-10
2017-20531,LOA,Lapsed,2014-08-23,2017-06-01
2017-20598,AWOL,Unresolved,2014-04-06,2016-06-27
2017-20605,Residency,Lapsed,2014-03-10,2017-10-14
2017-20626,Change of Plan of Study,Lapsed,2014-04-01,2017-08-23
2017-20946,Change of Plan of Study,Unresolved,2014-03-28,2016-01-15
2017-20366,Residency,Resolved,2014-07-23,2016-07-18
2017-20867,Change of Adviser,Unresolved,2014-03-27,2017-04-06
2017-20915,Change of Plan of Study,Lapsed,2014-01-05,2016-02-10
2017-20490,AWOL,Unresolved,2014-08-09,2017-09-05
2017-20797,Change of Plan of Study,Resolved,2014-05-11,2016-10-12
2017-20469,Change of Plan of Study,Unresolved,2015-02-27,2017-06-14
2017-20259,Residency,Resolved,2015-08-14,2016-06-12
2017-20404,LOA,Unresolved,2015-04-12,2017-04-06
2017-20368,Change of Plan of Study,Unresolved,2015-04-18,2016-01-28
2017-20745,Change of Adviser,Unresolved,2015-07-11,2016-10-13
2017-20506,LOA,Resolved,2014-07-23,2016-06-22
2017-20573,Completion,Unresolved,2015-06-27,2016-04-23
2017-20970,Change of Adviser,Unresolved,2015-03-06,2016-10-28
2017-20807,LOA,Resolved,2014-04-06,2016-10-26
2017-20013,Change of Plan of Study,Resolved,2014-02-06,2016-03-29
2017-20729,Residency,Resolved,2014-02-16,2016-03-28
2017-20124,AWOL,Resolved,2014-10-31,2016-01-13
2017-20631,Change of Adviser,Lapsed,2015-06-17,2017-09-14
2017-20077,Residency,Lapsed,2015-10-06,2017-03-02
2017-20833,AWOL,Lapsed,2015-09-24,2016-05-22
2017-20568,LOA,Lapsed,2014-11-11,2017-07-28
2017-20209,Residency,Lapsed,2015-09-07,2017-09-19
2017-20032,Change of Adviser,Lapsed,2014-02-08,2016-09-18
2017-20223,Completion,Lapsed,2015-02-19,2016-03-21
2017-20689,Change of Adviser,Lapsed,2015-11-05,2016-10-16
2017-20878,LOA,Resolved,2014-12-21,2017-11-12
2017-20593,AWOL,Resolved,2014-01-06,2016-03-09
2017-20799,Residency,Lapsed,2014-08-18,2017-09-05
2017-20793,LOA,Lapsed,2015-05-01,2016-10-09
2017-20428,Residency,Resolved,2014-03-19,2016-10-27
2017-20146,Change of Plan of Study,Lapsed,2014-02-07,2016-04-24
2017-20097,Residency,Lapsed,2015-11-01,2016-03-28
2017-20687,AWOL,Unresolved,2015-08-07,2017-09-13
2017-20650,Completion,Unresolved,2015-01-08,2017-03-06
2017-20042,Change of Adviser,Resolved,2015-04-04,2016-02-02
2017-20691,LOA,Lapsed,2015-08-15,2016-01-09
2017-20773,Completion,Lapsed,2014-11-16,2017-02-17
2017-20449,AWOL,Resolved,2015-01-11,2017-05-17
2017-20394,Change of Adviser,Lapsed,2015-09-01,2017-07-27
2017-20677,LOA,Unresolved,2015-04-25,2017-03-25
2017-20762,Completion,Unresolved,2014-07-22,2016-03-20
2017-20085,Change of Adviser,Unresolved,2015-05-12,2016-01-23
2017-20213,AWOL,Lapsed,2014-04-24,2016-08-22
2017-20529,LOA,Unresolved,2014-07-02,2016-06-08
2017-20987,Change of Plan of Study,Lapsed,2014-07-04,2017-10-28
2017-20726,Completion,Resolved,2015-04-15,2017-08-09
2017-20083,Change of Adviser,Lapsed,2015-09-28,2016-01-11
2017-20685,Residency,Lapsed,2015-03-18,2016-09-07
2017-20231,Residency,Unresolved,2015-10-24,2017-01-07
2017-20967,Change of Adviser,Lapsed,2014-01-05,2017-04-24
2017-20080,LOA,Lapsed,2015-03-08,2017-04-24
2017-20291,Change of Plan of Study,Lapsed,2014-05-03,2017-09-25
2017-20435,Residency,Resolved,2014-10-30,2017-04-15
2017-20028,Completion,Unresolved,2015-06-21,2017-09-29
2017-20739,LOA,Lapsed,2014-06-09,2016-06-25
2017-20767,Completion,Lapsed,2015-05-21,2016-02-19
2017-20635,Change of Adviser,Resolved,2014-10-12,2016-06-20
2017-20437,Residency,Resolved,2014-06-19,2017-04-21
2017-20199,Change of Plan of Study,Resolved,2014-02-26,2016-06-22
2017-20909,Change of Adviser,Unresolved,2014-10-18,2016-07-18
2017-20479,Residency,Resolved,2014-11-07,2017-11-14
2017-20256,Change of Plan of Study,Lapsed,2014-03-12,2016-12-07
2017-20183,AWOL,Lapsed,2014-12-02,2016-10-23
2017-20606,AWOL,Resolved,2014-02-15,2016-03-08
2017-20205,Change of Adviser,Lapsed,2014-06-17,2017-08-17
2017-20838,AWOL,Lapsed,2014-01-20,2017-02-28
2017-20688,LOA,Resolved,2015-01-10,2016-02-29
2017-20581,Completion,Lapsed,2015-10-07,2016-11-11
2017-20353,LOA,Lapsed,2014-09-30,2017-08-31
2017-20098,Change of Plan of Study,Lapsed,2015-07-29,2016-01-09
2017-20953,Completion,Unresolved,2015-01-13,2016-02-27
2017-20303,Completion,Unresolved,2014-02-17,2017-01-14
2017-20194,LOA,Unresolved,2014-08-03,2017-04-05
2017-20476,Change of Plan of Study,Resolved,2014-01-26,2016-07-14
2017-20339,Completion,Resolved,2015-05-28,2017-09-14
2017-20536,AWOL,Resolved,2014-12-02,2017-10-29
2017-20888,Residency,Lapsed,2014-08-17,2017-10-07
2017-20833,LOA,Lapsed,2015-05-09,2016-09-11
2017-20031,Residency,Unresolved,2014-10-21,2017-09-26
2017-20362,Residency,Lapsed,2014-09-18,2016-08-04
2017-20531,Residency,Lapsed,2014-11-05,2016-11-06
2017-20931,Completion,Resolved,2015-09-25,2017-02-10
2017-20957,LOA,Lapsed,2014-02-16,2016-06-20
2017-20445,Change of Adviser,Unresolved,2014-05-04,2017-06-15
2017-20664,Change of Adviser,Unresolved,2015-09-02,2016-09-03
2017-20668,Residency,Unresolved,2014-09-14,2017-04-11
2017-20148,Change of Plan of Study,Resolved,2014-01-14,2016-08-28
2017-20913,Change of Adviser,Unresolved,2014-09-10,2016-06-23
2017-20643,Change of Plan of Study,Resolved,2014-08-01,2017-04-30
2017-20546,Residency,Unresolved,2015-07-23,2017-09-30
2017-20002,LOA,Resolved,2014-03-28,2016-07-16
2017-20804,Completion,Resolved,2015-08-22,2016-07-03
2017-20159,LOA,Unresolved,2015-10-20,2016-11-27
2017-20044,Change of Plan of Study,Unresolved,2015-10-17,2016-09-12
2017-20593,Completion,Lapsed,2014-04-14,2016-01-18
2017-20668,Change of Plan of Study,Lapsed,2015-06-04,2017-05-05
2017-20040,Change of Plan of Study,Lapsed,2014-07-16,2016-05-20
2017-20070,AWOL,Unresolved,2014-04-04,2016-06-04
2017-20222,AWOL,Lapsed,2014-08-05,2016-09-28
2017-20579,Completion,Lapsed,2014-11-19,2017-11-04
2017-20397,Change of Plan of Study,Lapsed,2015-07-31,2016-12-24
2017-20103,Residency,Lapsed,2014-04-21,2016-07-01
2017-20943,AWOL,Unresolved,2015-09-20,2017-06-05
2017-20624,LOA,Resolved,2015-03-23,2017-08-17
2017-20080,LOA,Lapsed,2015-07-08,2016-02-16
2017-20646,AWOL,Lapsed,2015-04-16,2017-11-14
2017-20876,LOA,Unresolved,2015-02-23,2016-11-20
2017-20215,Change of Adviser,Lapsed,2014-02-24,2016-08-21
2017-20898,Residency,Unresolved,2015-11-10,2016-03-06
2017-20423,Completion,Unresolved,2015-05-27,2017-05-26
2017-20965,Residency,Unresolved,2014-08-05,2017-08-30
2017-20246,Completion,Unresolved,2014-05-26,2016-03-19
2017-20948,Completion,Resolved,2014-07-13,2017-04-12
2017-20798,AWOL,Resolved,2014-01-09,2016-04-12
2017-20823,AWOL,Lapsed,2014-05-01,2017-08-03
2017-20378,Change of Plan of Study,Resolved,2014-10-24,2017-06-29
2017-20358,Completion,Lapsed,2015-02-13,2017-02-10
2017-20818,LOA,Unresolved,2014-11-04,2016-02-24
2017-20124,LOA,Resolved,2014-06-29,2016-01-10
2017-20939,AWOL,Lapsed,2015-10-30,2016-07-29
2017-20338,Completion,Unresolved,2015-03-18,2017-09-08
2017-20427,Change of Plan of Study,Unresolved,2014-11-20,2016-12-17
2017-20334,Completion,Unresolved,2014-01-19,2016-09-27
2017-20327,AWOL,Unresolved,2015-05-13,2016-08-04
2017-20394,Residency,Resolved,2014-03-20,2017-06-21
2017-20022,AWOL,Lapsed,2014-02-09,2017-08-02
2017-20078,Change of Adviser,Lapsed,2014-09-10,2017-07-26
2017-20657,Completion,Unresolved,2015-09-16,2016-09-23
2017-20791,Residency,Resolved,2014-11-12,2016-02-19
2017-20938,Change of Adviser,Resolved,2014-07-18,2016-12-15
2017-20023,Change of Adviser,Resolved,2014-12-06,2016-08-21
2017-20676,Change of Adviser,Resolved,2015-05-27,2017-03-15
2017-20521,Change of Plan of Study,Lapsed,2014-07-25,2016-05-30
2017-20992,AWOL,Resolved,2015-06-26,2016-05-29
2017-20888,Residency,Unresolved,2014-05-18,2016-01-12
2017-20212,Completion,Lapsed,2014-04-18,2016-08-13
2017-20503,Residency,Unresolved,2014-07-02,2017-07-20
2017-20635,Completion,Resolved,2014-05-02,2016-11-11
2017-20627,Change of Plan of Study,Unresolved,2015-02-27,2016-01-27
2017-20445,Residency,Resolved,2014-09-04,2016-05-20
2017-20633,AWOL,Resolved,2015-07-05,2017-01-28
2017-20271,Completion,Unresolved,2015-02-15,2017-01-14
2017-20822,Change of Plan of Study,Resolved,2014-05-24,2017-10-14
2017-20635,AWOL,Lapsed,2015-08-26,2017-11-08
2017-20154,Change of Adviser,Resolved,2014-03-29,2017-06-22
2017-20495,AWOL,Lapsed,2014-11-11,2016-11-20
2017-20600,Residency,Unresolved,2015-09-02,2017-05-20
2017-20280,Change of Plan of Study,Unresolved,2014-11-01,2017-02-24
2017-20900,Completion,Unresolved,2014-06-26,2016-09-14
2017-20068,Change of Plan of Study,Lapsed,2015-10-19,2016-01-05
2017-20226,Change of Plan of Study,Lapsed,2014-10-28,2016-10-19
2017-20313,Residency,Resolved,2014-01-03,2016-02-12
2017-20116,Residency,Resolved,2014-04-29,2016-03-08
2017-20080,Change of Adviser,Lapsed,2015-05-23,2016-07-18
2017-20952,AWOL,Unresolved,2015-09-30,2016-12-01
2017-20790,LOA,Resolved,2015-10-17,2016-12-31
2017-20341,LOA,Resolved,2015-03-07,2017-09-04
2017-20108,Residency,Lapsed,2014-09-29,2017-02-21
2017-20446,Residency,Lapsed,2014-10-28,2016-04-12
2017-20590,AWOL,Lapsed,2014-05-12,2017-08-06
2017-20626,Completion,Unresolved,2015-04-16,2016-03-30
2017-20670,AWOL,Unresolved,2015-02-12,2016-03-11
2017-20139,Residency,Lapsed,2014-05-16,2017-09-26
2017-20797,AWOL,Resolved,2014-06-12,2016-06-28
2017-20364,Change of Plan of Study,Lapsed,2014-03-11,2016-10-21
2017-20027,Change of Plan of Study,Unresolved,2014-10-15,2017-01-31
2017-20461,LOA,Lapsed,2014-11-18,2016-01-15
2017-20449,LOA,Lapsed,2015-10-14,2017-08-21
2017-20481,Change of Adviser,Unresolved,2014-06-21,2017-08-03
2017-20020,Change of Adviser,Lapsed,2014-11-02,2017-05-06
2017-20757,Completion,Resolved,2014-01-15,2016-05-04
2017-20422,Change of Adviser,Unresolved,2015-05-13,2016-10-21
2017-20050,Residency,Unresolved,2015-06-09,2016-06-03
2017-20108,AWOL,Unresolved,2014-08-24,2016-10-16
2017-20340,Change of Plan of Study,Lapsed,2014-10-09,2016-06-16
2017-20337,Completion,Lapsed,2014-09-04,2017-01-20
2017-20961,Residency,Unresolved,2015-10-12,2016-01-15
2017-20378,AWOL,Lapsed,2015-07-24,2017-10-05
2017-20232,Residency,Resolved,2015-05-17,2016-10-23
2017-20813,LOA,Resolved,2015-03-28,2017-01-06
2017-20263,Completion,Unresolved,2015-02-23,2016-08-01
2017-20103,Change of Adviser,Lapsed,2015-04-08,2016-07-17
2017-20857,AWOL,Resolved,2015-08-01,2017-05-14
2017-20003,Completion,Lapsed,2015-07-26,2016-10-31
2017-20671,LOA,Unresolved,2014-02-05,2016-03-21
2017-20760,Residency,Lapsed,2015-06-15,2017-06-11
2017-20088,Residency,Unresolved,2014-05-19,2016-09-22
2017-20859,Completion,Unresolved,2015-11-07,2016-06-11
2017-20902,Residency,Unresolved,2015-09-15,2017-11-09
2017-20280,Residency,Lapsed,2014-12-01,2016-06-20
2017-20299,Completion,Resolved,2015-03-28,2016-06-06
2017-20043,AWOL,Resolved,2015-02-22,2016-07-31
2017-20226,Completion,Unresolved,2015-11-02,2016-03-23
